Frequency_Hz,Average_PSD_V2_per_Hz,Average_ASD_V_per_rtHz
16.9514095097487,2.39004011258947e-11,4.88880364975877e-06
17.95939277295,2.67418477732891e-11,5.17125205083731e-06
19.0273138400435,2.56889746779643e-11,5.06842921208971e-06
20.158736798318,2.54067090462375e-11,5.04050682434192e-06
21.3574376667206,2.36010642659083e-11,4.85809265719668e-06
22.6274169979695,2.48141837465563e-11,4.9813837180603e-06
23.9729132300269,2.71189741978046e-11,5.20758813634533e-06
25.3984168314912,2.41131856371391e-11,4.91051785834642e-06
26.9086852881189,2.74415695522302e-11,5.23847015379779e-06
28.5087589804909,2.70043858443329e-11,5.19657443363731e-06
30.2039780058142,2.76601842107954e-11,5.25929502983008e-06
32,2.70201970965792e-11,5.19809552591901e-06
33.9028190194974,2.77130505259197e-11,5.26431861933904e-06
35.9187855458999,2.58589399942788e-11,5.08516862987638e-06
38.0546276800871,2.77929035904642e-11,5.27189753224247e-06
40.3174735966359,2.55011023851008e-11,5.04986162039127e-06
42.7148753334411,2.68200622146271e-11,5.17880895714711e-06
45.254833995939,2.47698077484836e-11,4.97692754101198e-06
47.9458264600538,2.60326555143451e-11,5.10222064539992e-06
50.7968336629824,5.62554973082159e-10,2.37182413572794e-05
53.8173705762377,2.62462571224401e-11,5.12311010251001e-06
57.0175179609817,2.76593346553948e-11,5.25921426216833e-06
60.4079560116284,2.59969206961019e-11,5.09871755406219e-06
64,2.50438902445015e-11,5.0043870997857e-06
67.8056380389949,2.60741750314173e-11,5.10628779363417e-06
71.8375710917999,2.61341313614358e-11,5.11215525599876e-06
76.1092553601741,2.67357164101011e-11,5.17065918525879e-06
80.6349471932719,2.5455808845037e-11,5.0453749954822e-06
85.4297506668822,2.638376193268e-11,5.13651262362704e-06
90.5096679918781,2.66679980852645e-11,5.16410670738556e-06
95.8916529201076,2.68291809158504e-11,5.17968926827184e-06
101.593667325965,3.27292675543336e-11,5.72094988217285e-06
107.634741152475,2.64544080358423e-11,5.14338488116943e-06
114.035035921963,2.58552350260974e-11,5.0848043252516e-06
120.815912023257,2.60515321929159e-11,5.10407015948213e-06
128,2.61422985781965e-11,5.11295399726973e-06
135.61127607799,2.62963921788858e-11,5.1280007974732e-06
143.6751421836,2.56112370039668e-11,5.06075458839556e-06
152.218510720348,3.67264027494576e-11,6.06023124554316e-06
161.269894386544,2.6408128663772e-11,5.13888399010641e-06
170.859501333764,2.66667909783555e-11,5.16398983135671e-06
181.019335983756,2.65384195081417e-11,5.15154535145928e-06
191.783305840215,2.60465142907697e-11,5.10357857691735e-06
203.18733465193,2.71923396834932e-11,5.21462747312723e-06
215.269482304951,2.59881832794373e-11,5.09786065712249e-06
228.070071843927,2.60737902339687e-11,5.1062501147093e-06
241.631824046514,2.68424765692079e-11,5.18097255051673e-06
256,2.76227678225282e-11,5.25573665840747e-06
271.22255215598,2.68008304803357e-11,5.17695185223271e-06
287.350284367199,2.63138615732936e-11,5.12970384849785e-06
304.437021440697,2.64239337007161e-11,5.14042154893118e-06
322.539788773088,2.64050083685736e-11,5.13858038455891e-06
341.719002667529,2.74890847320913e-11,5.24300340759867e-06
362.038671967512,2.60621936302922e-11,5.10511445809907e-06
383.566611680431,2.60358517579979e-11,5.10253385662436e-06
406.374669303859,2.56242238285141e-11,5.06203751749373e-06
430.538964609902,2.61422853701336e-11,5.11295270564217e-06
456.140143687854,2.74403160497907e-11,5.23835050848936e-06
483.263648093027,2.58793406565726e-11,5.08717413271579e-06
512,2.64175808480454e-11,5.13980358068724e-06
542.445104311959,2.61674962259066e-11,5.11541750260002e-06
574.700568734399,2.63859660273705e-11,5.13672717081319e-06
608.874042881393,2.57152791434181e-11,5.07102348085848e-06
645.079577546175,2.6738950874007e-11,5.17097194674338e-06
683.438005335057,2.60375131175439e-11,5.10269665153082e-06
724.077343935025,2.57756058418393e-11,5.07696817419996e-06
767.133223360861,2.66447129279686e-11,5.16185169565812e-06
812.749338607718,2.65036406019376e-11,5.14816866486886e-06
861.077929219804,2.71095683470641e-11,5.20668496714215e-06
912.280287375708,2.61633089470821e-11,5.1150082059643e-06
966.527296186054,2.68304048806597e-11,5.17980741733317e-06
1024,2.64644857315408e-11,5.14436446332692e-06
1084.89020862392,2.58405633177973e-11,5.08336141915931e-06
1149.4011374688,2.78444819101547e-11,5.27678708213196e-06
1217.74808576279,2.65405554388903e-11,5.15175265699842e-06
1290.15915509235,2.61378863407915e-11,5.11252250271737e-06
1366.87601067011,2.63286217107098e-11,5.13114233974364e-06
1448.15468787005,2.65582955513351e-11,5.15347412444606e-06
1534.26644672172,2.62878105323547e-11,5.12716398531924e-06
1625.49867721544,2.61398855646927e-11,5.11271802123809e-06
1722.15585843961,2.61883081225708e-11,5.11745133074764e-06
1824.56057475142,2.60337700156133e-11,5.10232986150575e-06
1933.05459237211,2.56842589823821e-11,5.06796398787344e-06
2048,2.57253502309077e-11,5.07201638708982e-06
2169.78041724784,2.58796809095152e-11,5.08720757484056e-06
2298.8022749376,2.5613374917831e-11,5.06096580879885e-06
2435.49617152557,2.5656160519869e-11,5.06519106449786e-06
