Frequency_Hz,Deduplicated_PSD_V2_per_Hz,Deduplicated_ASD_V_per_rtHz
2169.78041724784,2.59128406517314e-11,5.09046566158062e-06
2298.8022749376,2.57014662354544e-11,5.06966135313341e-06
2435.49617152557,2.58026245428959e-11,5.07962838629913e-06
2580.3183101847,2.59850173299139e-11,5.09755013020116e-06
2733.75202134023,3.59156537694055e-11,5.99296702555633e-06
2896.3093757401,2.68151915787579e-11,5.17833868907374e-06
3068.53289344344,3.18228680594245e-11,5.64117612377282e-06
3250.99735443087,2.54164398398601e-11,5.04147199137912e-06
3444.31171687922,2.54137700162045e-11,5.04120719830127e-06
3649.12114950283,2.54243706741941e-11,5.04225848942655e-06
3866.10918474421,2.51426593956553e-11,5.01424564572333e-06
4096,2.5098376321692e-11,5.00982797326335e-06
4339.56083449568,2.46956710298175e-11,4.96947391881852e-06
4597.60454987519,2.4633823905623e-11,4.96324731457369e-06
4870.99234305115,2.44434532015475e-11,4.94403207934046e-06
5160.6366203694,2.42077389078757e-11,4.92013606599205e-06
5467.50404268046,2.39692311349887e-11,4.89583814428017e-06
5792.6187514802,2.36485205699934e-11,4.86297445705747e-06
6137.06578688689,2.34222525319452e-11,4.83965417482956e-06
6501.99470886174,2.33444416118599e-11,4.83160859464629e-06
6888.62343375843,2.28564196887821e-11,4.78083880598187e-06
7298.24229900566,2.25969911942073e-11,4.75362926554094e-06
7732.21836948843,2.22849488431747e-11,4.72069368241307e-06
8192,2.20004495940976e-11,4.69046368647041e-06
8679.12166899135,2.13766147652661e-11,4.62348513193955e-06
9195.20909975038,2.08924811657711e-11,4.57082937395076e-06
9741.98468610229,2.08115046955459e-11,4.56196281172325e-06
10321.2732407388,1.99609203851476e-11,4.4677645847949e-06
10935.0080853609,1.94757538624502e-11,4.41313424478003e-06
11585.2375029604,1.89689610570319e-11,4.35533707731467e-06
12274.1315737738,1.84848227179891e-11,4.29939794831661e-06
13003.9894177235,1.77330708581436e-11,4.2110652878035e-06
13777.2468675169,1.71210800673989e-11,4.13776268862763e-06
14596.4845980113,1.66009076184342e-11,4.07442113906186e-06
15464.4367389769,1.60366487563496e-11,4.0045784742404e-06
16384,1.57070909104271e-11,3.96321724239627e-06
17358.2433379827,1.51926363550295e-11,3.89777325597956e-06
18390.4181995008,1.48354905196717e-11,3.8516867109971e-06
19483.9693722046,1.68874413428973e-11,4.10943321431281e-06
20642.5464814776,1.40039638068577e-11,3.74218703525863e-06
21870.0161707218,1.22305737024407e-11,3.49722371352487e-06
23170.4750059208,8.04244638282545e-12,2.83592072929154e-06
