Frequency_Hz,Supply3V3_10Capture_ASD_nV_per_sqrtHz,Supply6V6_10Capture_ASD_nV_per_sqrtHz
11.9444444444444,30.2892324544357,15.4396480209362
12,33.3221458309753,16.5871692132733
12.0555555555556,24.0238571849111,12.0244380531305
12.1111111111111,25.2718231837733,14.3836441589341
12.1666666666667,28.5611222389944,19.1347873184182
12.2222222222222,25.8298144847785,17.3940381137582
12.2777777777778,25.0494040677785,17.9662177791541
12.3333333333333,33.1795951782747,22.6354983167644
12.3888888888889,35.6189344519696,19.9692346021387
12.4444444444444,34.8687321862187,16.9033012180668
12.5,28.9148419464126,17.1889083304787
12.5555555555556,20.6998670383912,15.8265273628211
12.6111111111111,23.3650096385745,16.4871614999673
12.6666666666667,32.5540238924243,13.3009431204417
12.7222222222222,28.0447717891563,16.6033411079968
12.7777777777778,29.0214522560045,17.5280632100757
12.8333333333333,24.9420068174336,15.4570261816986
12.8888888888889,23.0977751598012,17.697106343533
12.9444444444444,28.9416326625518,16.1566386989714
13,38.9301104093179,24.2905730304263
13.0555555555556,38.0204923072521,23.2021880336949
13.1111111111111,34.6635761199471,17.6465004667205
13.1666666666667,28.1298330131545,13.9222388635908
13.2222222222222,29.0629114982029,15.2933398092417
13.2777777777778,24.7597501632754,20.5333559540175
13.3333333333333,33.3839160969837,20.5668106297234
13.3888888888889,27.4783031062119,17.3303429365795
13.4444444444444,23.3574964877249,18.9422364225261
13.5,24.0477325900631,20.60302634978
13.5555555555556,31.5418820191161,17.7860721812605
13.6111111111111,31.3373909701619,19.9377990260602
13.6666666666667,27.0117762462408,18.6640483251774
13.7222222222222,28.1178682382816,18.182249615351
13.7777777777778,30.3096346587499,18.4920223756229
13.8333333333333,30.5560270365408,14.5760370970566
13.8888888888889,26.3579193755866,19.4115910521868
13.9444444444444,24.3775524743193,19.2674823764255
14,27.0814674492372,16.8344092155287
14.0555555555556,20.2868160542043,21.2869185461104
14.1111111111111,15.405029763538,19.3679817213954
14.1666666666667,26.6437844426773,18.9763632599058
14.2222222222222,23.625815301801,18.5714963869129
14.2777777777778,21.540673624019,15.0679446206875
14.3333333333333,31.7079702679639,14.0478529902121
14.3888888888889,29.4579815075752,13.320321966346
14.4444444444444,30.2045847585627,16.5193591913911
14.5,31.0179721436528,15.340152576401
14.5555555555556,25.0656465724006,18.2252863756083
14.6111111111111,33.8672458303651,18.2748587098139
14.6666666666667,40.1488496865107,20.3832526179951
14.7222222222222,33.2683792309948,19.5676118670781
14.7777777777778,33.4684298159504,13.9425648453726
14.8333333333333,35.7780633739398,16.2228469117168
14.8888888888889,29.2128997243532,15.6147217868272
14.9444444444444,27.7976223850495,15.5520254354767
15,39.3711833881142,21.1679931171789
15.0555555555556,34.7961538410939,15.1204537721927
15.1111111111111,26.8721556450542,15.2850991061299
15.1666666666667,26.7092415047487,18.0643778017646
15.2222222222222,30.5082348713154,18.5419322867124
15.2777777777778,35.1558905065864,19.0210921916246
15.3333333333333,34.7887157072847,16.506903428496
15.3888888888889,24.0687933772466,16.8768722357334
15.4444444444444,28.3061697326195,17.3092486607959
15.5,47.0144143826144,19.0690114786656
15.5555555555556,39.7398887418112,22.2416349060818
15.6111111111111,21.2125470145581,22.1880949560531
15.6666666666667,19.347334265136,21.7189009169941
15.7222222222222,27.8489849009724,17.7697962329215
15.7777777777778,31.2381558728186,14.0040654032699
15.8333333333333,29.5017119971098,13.7464365300872
15.8888888888889,33.6928639081301,19.4514802585262
15.9444444444444,32.6816882979,17.1217855884135
16,41.6478221725178,22.5799006688294
16.0555555555556,30.9422331185695,17.2049017395215
16.1111111111111,30.732395901192,14.2913043883807
16.1666666666667,29.1498143588771,16.2120404710991
16.2222222222222,21.3528641383549,15.5518780881999
16.2777777777778,20.9111576985645,15.3469595839183
16.3333333333333,21.5603843755951,16.4611364953307
16.3888888888889,24.973550496809,17.8166378506791
16.4444444444444,23.5784061932082,13.0269648726415
16.5,21.7108556740613,14.2319485617771
16.5555555555556,18.9570279281085,19.5250675725678
16.6111111111111,22.1711044699965,19.2623525805555
16.6666666666667,18.6423567235755,20.7448391205433
16.7222222222222,18.6812303308626,19.0695201589512
16.7777777777778,21.3116904936622,16.3400702710051
16.8333333333333,28.7613289556521,16.5793845351775
16.8888888888889,27.4579891518216,17.4140666911854
16.9444444444444,26.9287510399114,17.1860795321768
17,35.0413208207706,18.2011122745546
17.0555555555556,31.0895385085101,17.4948820211531
17.1111111111111,30.9084685633392,20.2121703427176
17.1666666666667,24.8734193094818,17.3948273983979
17.2222222222222,13.2677362156888,18.1196658354846
17.2777777777778,19.4970870229157,18.6180560123993
17.3333333333333,23.4512220658909,15.2195500520514
17.4166445153146,33.4889161076605,17.12194884653
17.5,27.1807975993629,17.6361296041972
17.5555555555556,24.5134917409863,13.1627078020096
17.6111111111111,28.7663318431605,12.4704113409111
17.6666666666667,29.7687319141026,15.292786549713
