CobNumber,BiasCurrentMicroA,RunNumber,SourcePath,DeclaredSampleCount,SampleRateHz,DcMeanOutputV,TimeStdOutputV,PeakToPeakOutputV
3,1,2,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0230542301887162,0.000908502060953249,0.0109406159814305
3,1,3,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0227206457545951,0.000907829980943738,0.0176191805113586
3,1,4,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.022355122743549,0.000910056245748694,0.012689778041875
3,1,5,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0219827246970105,0.00091946151980141,0.0187455259697235
3,1,6,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0211398219759788,0.000909035430076841,0.0195284120940172
3,1,7,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0209663620948944,0.000903015268834387,0.0189506437409839
3,1,8,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0207630507756946,0.000904859043077826,0.0167119047754024
3,1,9,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.020157177540177,0.000906055870450489,0.0189513785776316
3,1,10,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0199893008762125,0.000909893102842395,0.0172252483972585
3,2,1,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0229892559705868,0.00377162388490105,0.0378711083486074
3,2,2,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0234475258197774,0.00377461991735132,0.0377041070515198
3,2,3,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0234901058121866,0.00373262584558459,0.0371317941699595
3,2,4,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0233899185939354,0.00366796392220572,0.0371701592730733
3,2,5,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0226867726191547,0.00373407314084777,0.0397079524438735
3,2,6,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0221360750500353,0.00380218086977667,0.0372691942578472
3,2,7,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0217251494783154,0.0037949474100292,0.0398207327415204
3,2,8,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0210218262682296,0.00382306746023123,0.0391975437485381
3,2,9,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0193138842342803,0.00383371758304936,0.039230215801413
3,2,10,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0186493313792427,0.00379434745011437,0.0377682743136159
3,4,1,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0225793339446103,0.00775876286567959,0.0917427609220539
3,4,2,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0225263173767789,0.00728573709025384,0.0916325332148675
3,4,3,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0231268261064952,0.00747951287822745,0.0909907699824706
3,4,4,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.026745098765322,0.00734206901602077,0.0956006312220018
3,4,5,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0222666727570866,0.00735734808613793,0.0960600643543389
3,4,6,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0260853269240416,0.00805384885052408,0.0950915573878248
3,4,7,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0267061613083281,0.00784777596447577,0.0954707784037437
3,4,8,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0206977134038232,0.00750806571575111,0.0977405628364175
3,4,9,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0247203235212527,0.00738726477437491,0.0873807385359422
3,4,10,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0240058860830769,0.00788831951107425,0.0942417414576467
4,1,1,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.02336998507103,0.000772649317287498,0.0076342466631597
4,1,2,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0234354256655514,0.000773248421148116,0.0072460750053669
4,1,3,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0233795476082521,0.000775404658476469,0.0074239330995424
4,1,4,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0235094173131166,0.000775709644448594,0.0092570764911497
4,1,5,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0237511218411135,0.000780214809157624,0.0076431066935974
4,1,6,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.024071005894584,0.000801507447537229,0.0180472886071719
4,1,7,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.024740771545287,0.000777547862436613,0.007150938522387
4,1,8,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0251609510815932,0.000772819602055219,0.0080239344049835
4,1,9,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0251084868841308,0.000775186288953881,0.007536455928108
4,1,10,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0256519216100621,0.000782792918142659,0.0073415010029358
4,2,1,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0227017473310094,0.00110323782690981,0.011780037011842
4,2,2,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0231116832278999,0.00111911102437582,0.0119689043955225
4,2,3,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0236982890443914,0.00112919027512981,0.0123791089975529
4,2,4,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0243818752976861,0.00112748019387777,0.0120555830744403
4,2,5,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.0234179207032147,0.00112589394641423,0.011737354605296
4,2,6,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.0224773957192313,0.00112461969943748,0.012753293343637
4,2,7,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.021692673424407,0.00113333716091941,0.0127586416284111
4,2,8,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.0211175878020944,0.00112013475262367,0.0124762124117101
4,2,9,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.0206235212254354,0.00111094274375175,0.0122381275478981
4,2,10,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.0205653566128575,0.00109832065000048,0.0120314870625016
4,4,1,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.0191018529792005,0.00744006158110238,0.0716848719504572
4,4,2,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.0230778266564819,0.00841911748046564,0.075222329161633
4,4,3,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.017175912077375,0.0072918359298334,0.0728287706120526
4,4,4,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.0198477596859172,0.00762559894333994,0.0733897239135555
4,4,5,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.0203474692435554,0.00753624438502619,0.0707733849927502
4,4,6,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.0206727038043205,0.00739558798383326,0.0674663714492679
4,4,7,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.026458375298279,0.00740111708537023,0.0690947451501322
4,4,8,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.017712283437385,0.00723646173731326,0.0719038786868674
4,4,9,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.0234530732933918,0.0073162554998199,0.072680541352515
4,4,10,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.0196651182822984,0.00808411478839715,0.0719898700448908
5,1,1,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.0214937237904476,0.000781887505167181,0.0074429460309106
5,1,2,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.0213661023788997,0.000785236237389416,0.008051418400624
5,1,3,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.0213421699713741,0.000781569291275126,0.0075193933526542
5,1,4,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.021476267538733,0.000797360715427824,0.0076419364800487
5,1,5,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.0218549958127187,0.000782059746480028,0.0078777836833921
5,1,6,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.0219120926264411,0.000786839794589082,0.0076739908281325
5,1,7,[raw waveform omitted; see data/raw/README.md],963010,50000,-0.0219516041262178,0.000784281085266743,0.0075703479203198
5,1,8,[raw waveform omitted; see data/raw/README.md],962538,50000,-0.0192258212699862,0.00075373091198331,0.0072056888252176
5,1,9,[raw waveform omitted; see data/raw/README.md],962538,50000,-0.0194251704080958,0.000757461358486227,0.0074603356915489
