Frequency_Hz,Deduplicated_PSD_V2_per_Hz,Deduplicated_ASD_V_per_rtHz
7.12718974512272,2.40299975795718e-11,4.90204014463079e-06
7.55099450145355,2.27651710455845e-11,4.77128609974129e-06
8,2.62858762170603e-11,5.12697534781086e-06
8.47570475487436,2.57272486289374e-11,5.07220352794892e-06
8.97969638647498,2.46990625718135e-11,4.96981514463199e-06
9.51365692002177,2.40927899594653e-11,4.90844068513263e-06
10.079368399159,2.41786731737926e-11,4.91718142575527e-06
10.6787188333603,2.52254996000795e-11,5.02249933798696e-06
11.3137084989848,2.23184305121683e-11,4.72423861719201e-06
11.9864566150135,2.33729787916124e-11,4.8345608685394e-06
12.6992084157456,2.60319153568262e-11,5.10214811200402e-06
13.4543426440594,2.10126109096622e-11,4.5839514514949e-06
14.2543794902454,2.23018075077689e-11,4.72247895789584e-06
15.1019890029071,2.35968492908157e-11,4.85765882816154e-06
16,2.38294694852294e-11,4.88154376045421e-06
16.9514095097487,2.45512659410286e-11,4.95492340415355e-06
17.95939277295,2.30300314769927e-11,4.7989614998448e-06
19.0273138400435,2.29617926938237e-11,4.79184648061932e-06
20.158736798318,2.42387179931938e-11,4.92328325339847e-06
21.3574376667206,2.15474406963043e-11,4.64192209071892e-06
22.6274169979695,2.24608565775388e-11,4.73928861513401e-06
23.9729132300269,2.27079656851558e-11,4.76528757633323e-06
25.3984168314912,2.51816734050316e-11,5.01813445465858e-06
26.9086852881189,2.41796605465421e-11,4.91728182500679e-06
28.5087589804909,2.3470461605206e-11,4.84463224664226e-06
30.2039780058142,2.38455905156831e-11,4.88319470384738e-06
32,2.43208107821959e-11,4.9316134055901e-06
33.9028190194974,2.21460558144377e-11,4.70595960612049e-06
35.9187855458999,2.55566291550425e-11,5.05535648149985e-06
38.0546276800871,2.26103702810241e-11,4.75503630701429e-06
40.3174735966359,2.39496637226742e-11,4.89383936420825e-06
42.7148753334411,2.15651044316557e-11,4.64382433255778e-06
45.254833995939,2.36782254590037e-11,4.86602768785831e-06
47.9458264600538,2.46490831033502e-11,4.96478429575246e-06
50.7968336629824,1.94157550617818e-10,1.39340428669435e-05
53.8173705762377,2.4810955235426e-11,4.98105964985625e-06
57.0175179609817,2.34559196172995e-11,4.84313117903072e-06
60.4079560116284,2.18114888849003e-11,4.67027717431207e-06
64,2.43577870208034e-11,4.93536088050341e-06
67.8056380389949,2.25365545362771e-11,4.74726811295477e-06
71.8375710917999,2.36313206750393e-11,4.86120568121113e-06
76.1092553601741,2.35214861594685e-11,4.84989547923133e-06
80.6349471932719,2.33732578131875e-11,4.83458972542526e-06
85.4297506668822,2.32779940417259e-11,4.82472735413369e-06
90.5096679918781,2.41023950179421e-11,4.90941901022332e-06
95.8916529201076,2.3592534646987e-11,4.85721470052405e-06
101.593667325965,3.31309013102825e-11,5.7559448668557e-06
107.634741152475,2.34473145036883e-11,4.84224271424804e-06
114.035035921963,2.29487017380201e-11,4.79048032435371e-06
120.815912023257,2.37625391707227e-11,4.87468349441507e-06
128,2.32488411192371e-11,4.82170520866187e-06
135.61127607799,2.31783715244166e-11,4.81439212408136e-06
143.6751421836,2.4504501180183e-11,4.95020213528528e-06
152.218510720348,3.37753765295749e-11,5.81165867283815e-06
161.269894386544,2.34112268179063e-11,4.83851493930796e-06
170.859501333764,2.3474050194705e-11,4.84500260007206e-06
181.019335983756,2.33646427638809e-11,4.83369866291652e-06
191.783305840215,2.36250830493869e-11,4.86056406699747e-06
203.18733465193,2.4371676693624e-11,4.93676783874064e-06
215.269482304951,2.27060924121959e-11,4.76509101824885e-06
228.070071843927,2.2977116742518e-11,4.79344518509579e-06
241.631824046514,2.31841173693053e-11,4.81498882338322e-06
256,2.46580616744834e-11,4.96568843912739e-06
271.22255215598,2.36200416800613e-11,4.8600454401231e-06
287.350284367199,2.41047476602237e-11,4.90965860933565e-06
304.437021440697,2.3921652563108e-11,4.89097664716445e-06
322.539788773088,2.43187979316492e-11,4.93140932509655e-06
341.719002667529,2.45112560925776e-11,4.95088437479382e-06
362.038671967512,2.34933867555242e-11,4.84699770533515e-06
383.566611680431,2.3449291861876e-11,4.84244688787352e-06
406.374669303859,2.34519896805431e-11,4.8427254393103e-06
430.538964609902,2.35808327409114e-11,4.85600996095677e-06
456.140143687854,2.39485151346912e-11,4.89372201240438e-06
483.263648093027,2.38650397304454e-11,4.88518574165256e-06
512,2.37907761800208e-11,4.87757892606781e-06
542.445104311959,2.32481755993385e-11,4.82163619524934e-06
574.700568734399,2.35202000575315e-11,4.84976288673287e-06
608.874042881393,2.33042733500869e-11,4.82744998421391e-06
645.079577546175,2.4096432734282e-11,4.908811743618e-06
683.438005335057,2.33145780916854e-11,4.8285171731791e-06
724.077343935025,2.3384318891636e-11,4.83573354224941e-06
