Frequency_Hz,Current1p2_ASD_V_per_rtHz,NominalCurrent_ASD_V_per_rtHz,Current1p2_vs_Nominal_dB
170.859501333764,4.84500260007206e-06,5.19026263603919e-06,-0.597906399726093
181.019335983756,4.83369866291652e-06,5.14313247619677e-06,-0.538962767211603
191.783305840215,4.86056406699747e-06,5.15327561683587e-06,-0.507933977534894
203.18733465193,4.93676783874064e-06,5.21345417162947e-06,-0.473657122514423
215.269482304951,4.76509101824885e-06,5.09051454984971e-06,-0.573809651229233
228.070071843927,4.79344518509579e-06,5.08589143430225e-06,-0.514386397715895
241.631824046514,4.81498882338322e-06,5.20452776471161e-06,-0.675720926948798
256,4.96568843912739e-06,5.28083452170673e-06,-0.534461831185824
271.22255215598,4.8600454401231e-06,5.15133181385412e-06,-0.505583905358748
287.350284367199,4.90965860933565e-06,5.15328168251593e-06,-0.420651745452106
304.437021440697,4.89097664716445e-06,5.12071211004969e-06,-0.398695419532025
322.539788773088,4.93140932509655e-06,5.12686557351651e-06,-0.337617566346317
341.719002667529,4.95088437479382e-06,5.24937603099946e-06,-0.50849800324914
362.038671967512,4.84699770533515e-06,5.13039916029514e-06,-0.493566834159441
383.566611680431,4.84244688787352e-06,5.12235526643558e-06,-0.488096601513685
406.374669303859,4.8427254393103e-06,5.06741632105583e-06,-0.393934773067739
430.538964609902,4.85600996095677e-06,5.08739871632036e-06,-0.404324142888205
456.140143687854,4.89372201240438e-06,5.2334552331315e-06,-0.58298435860154
483.263648093027,4.88518574165256e-06,5.09985187612322e-06,-0.373529629057683
512,4.87757892606781e-06,5.15091532829348e-06,-0.473602106167263
542.445104311959,4.82163619524934e-06,5.10703925698787e-06,-0.499495151379708
574.700568734399,4.84976288673287e-06,5.12562463028116e-06,-0.480525843970398
608.874042881393,4.82744998421391e-06,5.04236120430178e-06,-0.378323396214641
645.079577546175,4.908811743618e-06,5.18786296885285e-06,-0.480242385555911
683.438005335057,4.8285171731791e-06,5.09861663219857e-06,-0.472771559810295
724.077343935025,4.83573354224941e-06,5.05783497938152e-06,-0.390045864034294
767.133223360861,4.84435838481143e-06,5.15542898062237e-06,-0.540570877087223
812.749338607718,4.84600345467586e-06,5.16598212653787e-06,-0.555383596894512
861.077929219804,4.86769911205274e-06,5.20052565470854e-06,-0.574470357382526
912.280287375708,4.86928053016478e-06,5.10472084316668e-06,-0.410144025864307
966.527296186054,4.8419065772533e-06,5.17164524649687e-06,-0.572246415655641
1024,4.85414752580531e-06,5.1117268703468e-06,-0.449093388283263
1084.89020862392,4.80539360941551e-06,5.08239813408156e-06,-0.486794327890861
1149.4011374688,4.90979218203719e-06,5.27202209386159e-06,-0.618282231924203
1217.74808576279,4.85118930707703e-06,5.1499539477321e-06,-0.519102462594343
1290.15915509235,4.82706647693813e-06,5.12054912465173e-06,-0.51266514240757
1366.87601067011,4.8406657427487e-06,5.13031688176841e-06,-0.504781919703601
1448.15468787005,4.89175283442571e-06,5.14642472188512e-06,-0.440822385898526
1534.26644672172,4.87215963647571e-06,5.12619599669828e-06,-0.441473951905813
1625.49867721544,4.83890389358693e-06,5.11965540288873e-06,-0.489874671916646
1722.15585843961,4.83835911376551e-06,5.12980943798446e-06,-0.508062654572693
1824.56057475142,4.85932313522394e-06,5.08978106283822e-06,-0.402466436163971
1933.05459237211,4.84704166429122e-06,5.08156685480212e-06,-0.410417816421872
2048,4.82645918929605e-06,5.07711738361551e-06,-0.439771323061425
2169.78041724784,4.8345801760664e-06,5.0906756297914e-06,-0.448333168280454
2298.8022749376,4.806940950184e-06,5.0654097113933e-06,-0.454915829884958
2435.49617152557,4.83352184881955e-06,5.0573475658423e-06,-0.393182309069831
2580.3183101847,4.83760423780801e-06,5.10308476129714e-06,-0.464048917948359
2733.75202134023,5.93009624845445e-06,5.8296433220161e-06,0.148395166495193
2896.3093757401,4.92962130113887e-06,5.66507070373488e-06,-1.20783553846802
3068.53289344344,5.55266691152456e-06,5.73930686080665e-06,-0.287156468102385
3250.99735443087,4.82788271797558e-06,5.04976047160212e-06,-0.390281341127327
3444.31171687922,4.784445961321e-06,5.02951708234719e-06,-0.433892675893954
3649.12114950283,4.79501027697697e-06,5.00848690479791e-06,-0.378340005766947
3866.10918474421,4.77170198626138e-06,5.01467969056757e-06,-0.431397714282782
4096,4.76369984398947e-06,4.98103846624744e-06,-0.387510127849456
4339.56083449568,4.77551411684351e-06,4.97441252813205e-06,-0.354433305234291
4597.60454987519,4.7570820978258e-06,4.97693637248055e-06,-0.392428840087005
4870.99234305115,4.72610977344799e-06,4.94227033281673e-06,-0.388453840404522
5160.6366203694,4.70118922926343e-06,4.91186911520507e-06,-0.380781066316313
5467.50404268046,4.68746088504443e-06,4.87741235723542e-06,-0.345036350217581
5792.6187514802,4.68015314851093e-06,4.85120753692298e-06,-0.311795792644356
6137.06578688689,4.67196054921748e-06,4.83947911735518e-06,-0.305989066475997
6501.99470886174,4.64999080667396e-06,4.82463854678197e-06,-0.320253761522645
6888.62343375843,4.60597179717208e-06,4.77230450247983e-06,-0.308137442859926
7298.24229900566,4.59346522289803e-06,4.74190369400767e-06,-0.276245934363154
7732.21836948843,4.56749198821093e-06,4.70219627836558e-06,-0.252459183758401
8192,4.56914987695462e-06,4.68701601269324e-06,-0.221220665106515
8679.12166899135,4.50579218899803e-06,4.62380589136212e-06,-0.224568723565823
9195.20909975038,4.47768630294485e-06,4.56367376556485e-06,-0.16521853442282
9741.98468610229,4.48007987528565e-06,4.5373442769539e-06,-0.110319521648053
10321.2732407388,4.41288603822747e-06,4.46160129316881e-06,-0.095360906497218
10935.0080853609,4.38284310033149e-06,4.39898385725201e-06,-0.0319288894741985
11585.2375029604,4.3411107562758e-06,4.33352880147391e-06,0.0151835794401865
12274.1315737738,4.33001740856026e-06,4.29071773680398e-06,0.0791939366270798
13003.9894177235,4.29415025188874e-06,4.20904159644455e-06,0.173880370824796
13777.2468675169,4.28575450275943e-06,4.1385890453344e-06,0.303499724755765
14596.4845980113,4.27625485352777e-06,4.06445575222272e-06,0.441223603120912
15464.4367389769,4.29200132225666e-06,4.0054012233683e-06,0.600276419182141
16384,4.31787936246667e-06,3.95764080694883e-06,0.756682580510885
17358.2433379827,4.37085913971259e-06,3.89580980831197e-06,0.999381279681655
18390.4181995008,4.4225116450213e-06,3.83129839138157e-06,1.24646015723844
19483.9693722046,4.92139428360344e-06,4.10137033817259e-06,1.58318348534992
20642.5464814776,4.53879923167296e-06,3.73274493806408e-06,1.69825314958973
21870.0161707218,4.28842621571791e-06,3.4886448627276e-06,1.79282361769469
23170.4750059208,3.50404944597037e-06,2.82372708952622e-06,1.87495011280487
